,WALCL,RRP,TGA,BTC,OIL,DXY,GOLD,HYG,SPY,MOVE,US10Y,VIX
2025-04-23,6726930.0,171.78,606632.0,93699.109375,62.27000045776367,99.83999633789062,3276.300048828125,78.0,535.4199829101562,116.5999984741211,4.38700008392334,28.450000762939453
2025-04-24,6726930.0,130.004,606632.0,93943.796875,62.790000915527344,99.29000091552734,3332.0,78.69999694824219,546.6900024414062,108.27999877929688,4.304999828338623,26.469999313354492
2025-04-25,6726930.0,94.021,606632.0,94720.5,63.02000045776367,99.47000122070312,3282.39990234375,78.7699966430664,550.6400146484375,105.79000091552734,4.265999794006348,24.84000015258789
2025-04-26,6726930.0,94.021,606632.0,94646.9296875,63.02000045776367,99.47000122070312,3282.39990234375,78.7699966430664,550.6400146484375,105.79000091552734,4.265999794006348,24.84000015258789
2025-04-27,6726930.0,94.021,606632.0,93754.84375,63.02000045776367,99.47000122070312,3282.39990234375,78.7699966430664,550.6400146484375,105.79000091552734,4.265999794006348,24.84000015258789
2025-04-28,6726930.0,148.649,606632.0,94978.75,62.04999923706055,99.01000213623047,3332.5,78.80999755859375,550.8499755859375,110.01000213623047,4.216000080108643,25.149999618530273
2025-04-29,6726930.0,157.537,606632.0,94284.7890625,60.41999816894531,99.23999786376953,3318.800048828125,79.0199966430664,554.3200073242188,112.2699966430664,4.172999858856201,24.170000076293945
2025-04-30,6709277.0,250.601,595741.0,94207.3125,58.209999084472656,99.47000122070312,3305.0,78.5999984741211,554.5399780273438,112.4800033569336,4.177000045776367,24.700000762939453
2025-05-01,6709277.0,157.353,595741.0,96492.3359375,59.2400016784668,100.25,3210.0,78.30000305175781,558.469970703125,107.33000183105469,4.230999946594238,24.600000381469727
2025-05-02,6709277.0,147.882,595741.0,96910.0703125,58.290000915527344,100.0,3231.89990234375,78.54000091552734,566.760009765625,101.4000015258789,4.322000026702881,22.68000030517578
2025-05-03,6709277.0,147.882,595741.0,95891.796875,58.290000915527344,100.0,3231.89990234375,78.54000091552734,566.760009765625,101.4000015258789,4.322000026702881,22.68000030517578
2025-05-04,6709277.0,147.882,595741.0,94315.9765625,58.290000915527344,100.0,3231.89990234375,78.54000091552734,566.760009765625,101.4000015258789,4.322000026702881,22.68000030517578
2025-05-05,6709277.0,124.69,595741.0,94748.0546875,57.130001068115234,99.83000183105469,3311.300048828125,78.51000213623047,563.510009765625,104.44999694824219,4.3429999351501465,23.639999389648438
2025-05-06,6709277.0,129.858,595741.0,96802.4765625,59.09000015258789,99.23999786376953,3411.39990234375,78.44999694824219,558.7999877929688,106.18000030517578,4.308000087738037,24.760000228881836
2025-05-07,6710889.0,154.859,583727.0,97032.3203125,58.06999969482422,99.61000061035156,3381.39990234375,78.5199966430664,561.1500244140625,99.87000274658203,4.275000095367432,23.549999237060547
2025-05-08,6710889.0,139.768,583727.0,103241.4609375,59.90999984741211,100.63999938964844,3296.60009765625,78.5,565.0599975585938,98.66000366210938,4.373000144958496,22.479999542236328
2025-05-09,6710889.0,142.272,583727.0,102970.8515625,61.02000045776367,100.33999633789062,3335.39990234375,78.55000305175781,564.3400268554688,100.4000015258789,4.375,21.899999618530273
2025-05-10,6710889.0,142.272,583727.0,104696.328125,61.02000045776367,100.33999633789062,3335.39990234375,78.55000305175781,564.3400268554688,100.4000015258789,4.375,21.899999618530273
2025-05-11,6710889.0,142.272,583727.0,104106.359375,61.02000045776367,100.33999633789062,3335.39990234375,78.55000305175781,564.3400268554688,100.4000015258789,4.375,21.899999618530273
2025-05-12,6710889.0,147.505,583727.0,102812.953125,61.95000076293945,101.79000091552734,3220.0,79.33000183105469,582.989990234375,102.9000015258789,4.456999778747559,18.389999389648438
2025-05-13,6710889.0,144.214,583727.0,104169.8125,63.66999816894531,101.0,3240.300048828125,79.47000122070312,586.8400268554688,100.12999725341797,4.499000072479248,18.219999313354492
2025-05-14,6713270.0,165.024,575846.0,103539.4140625,63.150001525878906,101.04000091552734,3181.39990234375,79.18000030517578,587.5900268554688,100.7300033569336,4.5279998779296875,18.6200008392334
2025-05-15,6713270.0,109.436,575846.0,103744.640625,61.619998931884766,100.87999725341797,3220.699951171875,79.33000183105469,590.4600219726562,98.6500015258789,4.454999923706055,17.829999923706055
2025-05-16,6713270.0,136.799,575846.0,103489.2890625,62.4900016784668,101.08999633789062,3182.0,79.41999816894531,594.2000122070312,96.69999694824219,4.440999984741211,17.239999771118164
2025-05-17,6713270.0,136.799,575846.0,103191.0859375,62.4900016784668,101.08999633789062,3182.0,79.41999816894531,594.2000122070312,96.69999694824219,4.440999984741211,17.239999771118164
2025-05-18,6713270.0,136.799,575846.0,106446.0078125,62.4900016784668,101.08999633789062,3182.0,79.41999816894531,594.2000122070312,96.69999694824219,4.440999984741211,17.239999771118164
2025-05-19,6713270.0,180.417,575846.0,105606.1796875,62.689998626708984,100.43000030517578,3228.89990234375,79.37999725341797,594.8499755859375,103.80999755859375,4.474999904632568,18.139999389648438
2025-05-20,6713270.0,136.033,575846.0,106791.0859375,62.560001373291016,100.12000274658203,3280.300048828125,79.33999633789062,592.8499755859375,101.37000274658203,4.480999946594238,18.09000015258789
2025-05-21,6688726.0,162.802,503055.0,109678.078125,61.56999969482422,99.55999755859375,3309.300048828125,78.80999755859375,582.8599853515625,102.0999984741211,4.5960001945495605,20.8700008392334
2025-05-22,6688726.0,173.018,503055.0,111673.28125,61.20000076293945,99.95999908447266,3292.300048828125,78.97000122070312,583.0900268554688,99.47000122070312,4.552999973297119,20.280000686645508
2025-05-23,6688726.0,154.841,503055.0,107287.796875,61.529998779296875,99.11000061035156,3363.60009765625,78.94999694824219,579.1099853515625,100.91000366210938,4.508999824523926,22.290000915527344
2025-05-24,6688726.0,154.841,503055.0,107791.15625,61.529998779296875,99.11000061035156,3363.60009765625,78.94999694824219,579.1099853515625,100.91000366210938,4.508999824523926,22.290000915527344
2025-05-25,6688726.0,154.841,503055.0,109035.390625,61.529998779296875,99.11000061035156,3363.60009765625,78.94999694824219,579.1099853515625,100.91000366210938,4.508999824523926,22.290000915527344
2025-05-26,6688726.0,154.841,503055.0,109440.3671875,61.529998779296875,98.93000030517578,3363.60009765625,78.94999694824219,579.1099853515625,100.91000366210938,4.508999824523926,22.290000915527344
2025-05-27,6688726.0,138.066,503055.0,108994.640625,60.88999938964844,99.5199966430664,3299.10009765625,79.43000030517578,591.1500244140625,97.93000030517578,4.434000015258789,18.959999084472656
2025-05-28,6673244.0,173.641,467204.0,107802.328125,61.84000015258789,99.87999725341797,3293.60009765625,79.37999725341797,587.72998046875,93.19999694824219,4.4770002365112305,19.309999465942383
2025-05-29,6673244.0,165.66,467204.0,105641.7578125,60.939998626708984,99.27999877929688,3317.10009765625,79.5,590.0499877929688,92.66999816894531,4.423999786376953,19.18000030517578
2025-05-30,6673244.0,315.657,467204.0,103998.5703125,60.790000915527344,99.33000183105469,3288.89990234375,79.56999969482422,589.3900146484375,92.11000061035156,4.415999889373779,18.56999969482422
